Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,1697137,"Home Aloan","2018-08-29 23:05:00",0.80570,499,"ljjsfe,mjahrer,ogrellier,psilogram,rdizzl3,tunguz"
2,1746650,ikiri_DS,"2018-08-29 23:57:02",0.80561,477,"andrew60909,brandenkmurray,ireko8,ktts1031,maxwell110,nejumi,nthanhtam,onodera,ryuichi0704,takuok,tereka,titericz"
3,1742143,"alijs & Evgeny","2018-08-29 22:38:17",0.80511,143,"alijs1,johnpateha"
4,1713896,"Quad Machine","2018-08-29 19:35:05",0.80474,178,"chinta,gmilosev,kainsama,lishubin"
5,1708353,"Kraków, Lublin i Zhabinka","2018-08-29 14:26:29",0.80449,329,"allvor,meykds,narsil"
6,1697998,silver,"2018-08-29 19:07:27",0.80419,372,"arsenal,del=7cfc3a671667d960,ericlikedata,khyeh0719,loleno,marcuslin,xiaozhouwang"
7,1831396,"A.Assklou  _ Aguiar","2018-08-29 23:08:22",0.80396,200,"abdelwahedassklou,jsaguiar"
8,1717122,七上八下,"2018-08-29 23:46:51",0.80376,476,"h4211819,naivelamb,plantsgo,pureheart,senkin13,wangking,wuyhbb"
9,1726438,"International Fit Club","2018-08-29 23:53:21",0.80374,513,"alonbochman,datahobbit,del=23dd8743de68448c,mlisovyi,mzacks,returnofsputnik,suchith0312,taindow"
10,1736411,"Best Friend Forever: CV","2018-08-29 23:04:17",0.80354,476,"a31314431,fatihozturk,kingychiu,lingchensun,shivrajp"
11,1850516,circlecircle,"2018-08-29 23:50:42",0.80336,231,"bestfitting,cirlecircle"
12,1710843,"楼上神仙打架 ¯\_(ツ) _/¯","2018-08-29 18:28:55",0.80329,189,"cxl923cc,mzr2017,oyxuan,yifanxie,yl1202,zhiqiangzhong"
13,1784425,"KazAnova&Dmitry [h2o.ai]","2018-08-29 23:35:40",0.80325,238,"dmitrylarko,kazanova"
14,1697213,"seagull, Adri and Tomoyo","2018-08-29 16:50:10",0.80312,430,"fangao,guziye,tita1708"
15,1699759,"Give us some credit","2018-08-29 23:57:36",0.80279,278,"albedan,cbrioso"
16,1711610,wl_team,"2018-08-28 14:47:53",0.80278,77,"marrvolo,propower"
17,1714045,qchemdog,"2018-08-29 19:07:02",0.80265,180,noxmoon
