Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,1708353,"Kraków, Lublin i Zhabinka","2018-08-29 14:26:29",0.81724,329,"allvor,meykds,narsil"
2,1746650,ikiri_DS,"2018-08-29 23:57:02",0.81241,477,"andrew60909,brandenkmurray,ireko8,ktts1031,maxwell110,nejumi,nthanhtam,onodera,ryuichi0704,takuok,tereka,titericz"
3,1850516,circlecircle,"2018-08-29 23:50:42",0.81124,231,"bestfitting,cirlecircle"
4,1742143,"alijs & Evgeny","2018-08-29 22:38:17",0.81086,143,"alijs1,johnpateha"
5,1700662,"Large Space Hypothesis","2018-08-29 18:11:30",0.81041,374,"ahmedalesh,mathurinache,shaz13"
6,1717122,七上八下,"2018-08-29 23:46:51",0.81039,476,"h4211819,naivelamb,plantsgo,pureheart,senkin13,wangking,wuyhbb"
7,1703821,TenDots,"2018-08-29 23:32:42",0.81007,447,"gatescao,huntrui,jinghongmiao,johnsonchu,jsfighter,qinjun76,sinba7,vikiwong,zhengqilin,ziychen"
8,1710843,"楼上神仙打架 ¯\_(ツ) _/¯","2018-08-29 18:28:55",0.80993,189,"cxl923cc,mzr2017,oyxuan,yifanxie,yl1202,zhiqiangzhong"
9,1754229,"Vegetable chicken","2018-08-29 23:56:01",0.80972,479,"alexyung757,cnzjhdx,ilovearsenal,jc3802201,kelexu,laevatein,mapodoufu,poteman,qiaoshiji,uuulearn,xucheng"
10,1713896,"Quad Machine","2018-08-29 19:35:05",0.80941,178,"chinta,gmilosev,kainsama,lishubin"
11,1697137,"Home Aloan","2018-08-29 23:05:00",0.80920,499,"ljjsfe,mjahrer,ogrellier,psilogram,rdizzl3,tunguz"
12,1697923,R&2J,"2018-08-29 23:57:54",0.80909,518,"dimarus,yryrgogo,yutanishino1"
13,1697529,"Life of Shakedown","2018-08-29 20:18:30",0.80903,27,johnfarrell
14,1697998,silver,"2018-08-29 19:07:27",0.80896,372,"arsenal,del=7cfc3a671667d960,ericlikedata,khyeh0719,loleno,marcuslin,xiaozhouwang"
15,1699759,"Give us some credit","2018-08-29 23:57:36",0.80878,278,"albedan,cbrioso"
16,1729033,"Wei Wu","2018-08-29 18:12:22",0.80875,384,weiwunyc
17,1831396,"A.Assklou  _ Aguiar","2018-08-29 23:08:22",0.80871,200,"abdelwahedassklou,jsaguiar"
18,1706427,yilisg,"2018-08-29 16:37:28",0.80850,53,yilihome
19,1714045,qchemdog,"2018-08-29 19:07:02",0.80847,180,noxmoon
20,1698884,"[ods.ai] gangsters","2018-08-29 21:44:14",0.80844,499,"atanasova,izmaylov,nvarganov,sneddy"
21,1804046,全村的希望,"2018-08-29 09:55:56",0.80839,77,maoli1990
22,1736774,Tommao,"2018-08-29 23:57:40",0.80834,83,tommao
23,1784425,"KazAnova&Dmitry [h2o.ai]","2018-08-29 23:35:40",0.80809,238,"dmitrylarko,kazanova"
24,1705600,"Holberg A/S","2018-08-29 20:07:23",0.80804,254,"christianholberg,holberg72"
25,1718426,"Applied Intelligence","2018-08-29 23:25:52",0.80788,214,"dddzhou,garrettthk,hardeeparora,konodyuk"
26,1854419,"James Davis","2018-08-29 17:07:03",0.80771,127,lorentztrans
27,1697562,大黑楼,"2018-08-21 23:21:27",0.80762,89,lizheng167
28,1697441,"Intercontinental Blenders","2018-08-29 23:00:14",0.80762,472,"aharless,chauhuynh,jpmiller,kueipo,mathormad,mmotoki,nguyenbadung,nhmquang,ntrang,yyqing"
29,1736411,"Best Friend Forever: CV","2018-08-29 23:04:17",0.80751,476,"a31314431,fatihozturk,kingychiu,lingchensun,shivrajp"
30,1708465,"TrailBlazers ~ Leaving a Trail ;)","2018-08-25 04:10:25",0.80744,240,"burrito,ravijeet"
31,1876302,"Abdel _ Arthur","2018-08-29 21:22:19",0.80733,107,"arthurllau,morocco"
32,1698048,顽石,"2018-08-29 04:01:26",0.80733,287,"jarkeyyou,xffjlg"
33,1724729,Bless!!!,"2018-08-29 23:54:48",0.80729,111,yiheng
34,1698745,Yannick,"2018-08-28 09:54:52",0.80729,89,breezeyuner
35,1704184,"Spencer Uresk","2018-08-26 16:19:05",0.80718,228,suresk
36,1725455,"il brutto","2018-08-29 14:47:52",0.80716,272,"krismetha,mtinti"
37,1748025,"Trust Your CV :)","2018-08-29 18:23:12",0.80714,148,"aman1391,shahnawazakhtar,shrey92"
38,1904767,Eureka,"2018-08-29 19:35:45",0.80704,178,"baomengjiao,infzero,mgchbot,pengyan,sunoonlee"
39,1725612,"Ilya & Phaedrus","2018-08-29 19:20:46",0.80704,257,"ilyaboytsov,pheadrus"
40,1706755,AllMight,"2018-08-29 15:26:14",0.80702,195,emotionevil
41,1993458,"Shize Su","2018-08-27 01:42:51",0.80702,35,sushize
42,1919955,young_for_you,"2018-08-29 12:47:32",0.80701,77,"mahluo,sfx7rail,smokerx,wh1tezzz,yingxi320"
43,1734742,Katabat,"2018-08-29 21:06:29",0.80695,223,"caojiiu,chjn1990531,haoyanzhai,masakis1998,sguotan,shiyichen41,wluo4ever,zhangye"
44,1704874,raddar,"2018-08-29 23:00:57",0.80684,5,raddar
45,1745307,"Andy Penrose","2018-08-25 20:24:10",0.80674,32,andypenrose
46,2009494,XuleiYang,"2018-08-29 10:32:16",0.80674,15,yangxulei
47,1752986,Sidore,"2018-08-29 16:02:44",0.80669,66,sidore
48,1705544,"[ods.ai] Lasteg","2018-08-29 20:51:03",0.80667,122,zxspectrum
49,1742330,Auxon,"2018-08-29 23:53:51",0.80665,21,"engenious,yassertabandeh"
50,1980200,one_more_layer,"2018-08-29 23:36:55",0.80664,61,"anti111,taskyn"
51,1726438,"International Fit Club","2018-08-29 23:53:21",0.80664,513,"alonbochman,datahobbit,del=23dd8743de68448c,mlisovyi,mzacks,returnofsputnik,suchith0312,taindow"
52,1779315,"T Flana","2018-08-29 00:44:35",0.80658,172,tflana
53,1761393,"Antoine Molas","2018-08-29 17:24:34",0.80653,194,antmolas
54,1715062,PavelTroshenkov,"2018-08-29 20:45:51",0.80651,102,pavetr
55,1698023,sasakama,"2018-08-29 17:32:13",0.80651,86,rterada
56,1731364,DrHB,"2018-08-29 14:47:59",0.80650,229,drhabib
57,1727954,"Anton Loss","2018-08-29 22:54:30",0.80650,136,avloss
58,1821372,neptune.ml,"2018-08-29 12:47:10",0.80642,179,"buabua,grzes314,jakubczakon,kkaczmarek,kstrzala,ninoko,paulinaknut,romaniukm"
59,1735289,"Curtis's Kaggle Masters","2018-08-29 21:53:36",0.80636,174,"aemrich,alporter08,alynn29,bgrad3031,ezornow,ivypan,jackbferg,kimayaabreu,leonleon123,melissamischell,morgantam,nchatha,nussabav,seanammirati,tdeokule,wolfganghall"
