Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10974917,"Stay hungry, Stay foolish",20/12/2023 18:19,5.2123,139,winforever
2,10956074,hyd,20/12/2023 14:57,5.3034,142,hydantess
3,10946503,人法天 天法地 地法道 道法自然,20/12/2023 18:24,5.3041,383,yuanzhezhou
4,10964413,(⊙﹏⊙)Rib~,20/12/2023 17:45,5.3105,140,"dc5e964768ef56302a32,wht1996"
5,10957058,Yusef + Ivan + Adam('s GPU),20/12/2023 14:24,5.3132,442,"agreenyy,ibazhov,stefanfrench,yusefkaggle"
6,10952283,M,20/12/2023 20:02,5.3139,31,mathurinache
7,11072826,Shaking at the Close,20/12/2023 17:58,5.3188,161,"kingychiu,tangtunyu,wimwim"
8,11026851,Shi HJ,20/12/2023 11:49,5.3191,169,"shihjwjj,wangjingjing123"
9,11028684,WLY,20/12/2023 7:06,5.3202,302,"dastroke,sparkle28,yangq369"
10,11123288,TH & Ethan,20/12/2023 21:04,5.3203,142,"chenxin1991,ilovearsenal"
11,10999530,O Yuksel,19/12/2023 22:26,5.3206,160,lognorm
12,10951111,f_1,19/12/2023 21:52,5.321,284,"fangliliu,iris0415"
13,10987628,Mengfei Li,20/12/2023 16:21,5.3213,295,meli19
14,10946361,Jacoby Jaeger,20/12/2023 21:20,5.3214,100,jacobyjaeger
15,10952055,不知名初创私募,20/12/2023 13:57,5.3221,317,"hisato739,hznnnn,kirapro,s1haotang,yangyijie123456"
16,11090546,Ouranos,20/12/2023 17:46,5.3222,205,ouranos
17,11049999,NimaShahbazi,18/12/2023 20:18,5.3224,210,nimashahbazi
18,11049787,Gold Goalie,20/12/2023 19:53,5.3227,332,"chellyfan,unknownkid,wuhongrui"
19,10952497,Pims,20/12/2023 16:24,5.3238,184,"fibercoke,kevjiang2022,liquidammonia1999,yunchonggan"
20,10951105,Supreme Taker,29/11/2023 23:50,5.3248,114,fanfrankfeng
21,11025658,BORSA KAPLANI,20/12/2023 20:56,5.325,80,"aerdem4,gunesevitan,nlztrk"
22,10945723,ADAM.,20/12/2023 14:23,5.3254,84,hookman
23,10946534,QAQ,20/12/2023 22:34,5.3256,370,"lblhandsome,ludenburg,nullrecurrent,vaewnut,wenxuanxx"
24,11043506,Daniel FG,19/12/2023 12:51,5.3256,29,danielfg
25,10980627,Carus,20/12/2023 9:21,5.326,179,carusqu
26,11109228,Never Trust LB,20/12/2023 4:39,5.3262,81,tommy1028
27,11142638,Petrus,20/12/2023 19:13,5.3267,35,xanderthegreat
28,10945145,at7459,15/12/2023 11:37,5.327,170,at7459
29,11173964,Back to the future,20/12/2023 14:37,5.327,170,"demery,huntersjm,ljjsfe"
30,10950653,KUR,15/12/2023 10:03,5.327,125,ngocuong
31,10945241,David Goodrich,19/12/2023 18:54,5.3271,99,davidgoodrich
32,10950911,lll,20/12/2023 17:04,5.3271,145,berserker408
33,10968404,Yujia,20/12/2023 11:58,5.3272,132,yogaxu
34,10985700,BuyLowSellHigh,20/12/2023 8:24,5.3273,300,"arli94,itong1900,jirkaborovec,joebeachcapital,marketneutral"
35,11042953,OverFishing,20/12/2023 17:51,5.3274,455,"doctorcat,huangshuo1592,shangjianzhong,sihead,zyhchasel"
36,11028189,K Y,20/12/2023 20:09,5.3278,57,"jihoonchung,yuuniekiri"
37,11083462,Haoze Hou RUC,2/12/2023 16:15,5.3281,145,test02934
38,10963957,shshs,19/12/2023 6:32,5.3283,308,"diyartulenov,peachypeachy"
39,11206452,nmnc,20/12/2023 14:21,5.3284,74,menocineto
40,11076004,Heybro,20/12/2023 22:59,5.3285,161,"daiyuxiao,jimozhang,kaggleplayer01,kristin0119"
41,10979010,Opilot,19/12/2023 19:08,5.3285,280,"jasonfeng55,woprime,xiaowangiiiii,yuxuanjasongao"
42,11252862,JWalker100,20/12/2023 8:56,5.3285,65,jwalker100
43,11353687,Thomas Dueholm Hansen,20/12/2023 8:31,5.3286,36,thomasdueholmhansen
44,10981382,tangrongshan,20/12/2023 16:18,5.329,283,tangrongshan
45,10951217,frontrunner,20/12/2023 17:05,5.3292,22,"chuqibian,yiming601"
46,10949144,WindClimber,19/12/2023 22:50,5.3292,378,fengpan23
47,11176381,Yingdi Li,20/12/2023 19:17,5.3294,118,yingdili
48,11270246,Yinggang Qu,19/12/2023 3:21,5.3295,6,yinggangqu
49,10951728,Big2,20/12/2023 19:27,5.3295,120,"cl12102783,xinshuo0"
50,10953958,不要怕，是技术性调整,20/12/2023 17:39,5.3296,16,rjqian
51,11054134,Steve Roberts,20/12/2023 9:36,5.3298,173,steveroberts
52,10969390,DanielsLi,11/12/2023 3:20,5.3299,89,a763337092
53,10950347,PrettyMeng,20/12/2023 5:47,5.33,16,prettymeng
54,10944758,Artur M,20/12/2023 18:58,5.3301,59,goodloot
55,10968367,Imperial x Optiver,20/12/2023 17:45,5.3302,30,"liyiyan,suhualuo,ziyangni,zongqihan"
56,11282425,Numerical Ninjas,18/12/2023 7:19,5.3303,88,"chengwenzhu,evawangmath,winnie111,yongchengduan,youknowwhat"
57,11272193,Trend Alchemists,19/12/2023 12:21,5.3303,89,"csushengguanlin,jianghui54,lengchangfa,yusiqin"
58,11341374,RichardZhu2003,20/12/2023 2:10,5.3304,15,richardzhu2003
59,11015282,FlynnFu,17/12/2023 5:26,5.3305,37,flynnfu
60,10953464,Jose Antonio Alatorre,20/12/2023 8:59,5.3305,131,joseantonioalatorre
61,11060204,卷不动了赶紧结束吧,20/12/2023 17:30,5.3305,61,harperislit
62,11333344,banluvh,20/12/2023 11:03,5.3307,25,banluvh
63,11224714,EXCITING,17/12/2023 15:17,5.3309,31,"doudinger,ikunlwh,scarlettlele"
64,11047810,Ah,20/12/2023 13:55,5.3309,65,ahmedelfazouan
65,11349218,CommanderCody,18/12/2023 12:04,5.331,63,"cerinayao,charleschengkaiyang,karlieshao,qingyuanyao"
66,11064646,DumbAnonymous,19/12/2023 1:25,5.331,90,"dumbanonymous,jiesun279,lintaiyang,xueyliu,yaojinchen"
67,10971811,Xueqiao.zsy,20/12/2023 20:47,5.331,54,saladcat
68,11036868,Andrea Pranzo,18/12/2023 22:02,5.3311,133,andrealunch
69,11049806,ffflyings,20/12/2023 11:48,5.3311,52,"ffflyings,hanluzou,jackiezheng0813,shikexin272"
70,11340009,Manuel Campos,20/12/2023 15:54,5.3311,88,coreacasa
71,10948142,trytry,20/12/2023 15:41,5.3311,279,"pqxlpjy123,winniehuiwu,zhanghustc,zhenggonglove,ziqiaozhou"
72,11306170,PriceProphets,20/12/2023 9:44,5.3311,96,"starsinspace,vikirsn,yihengli5c,yijunwang2021,yucongchen99"
73,11084010,Ravox,20/12/2023 7:20,5.3312,131,ravoxsg
74,11311854,catnip,20/12/2023 7:26,5.3313,95,"dypeng,shaquanquan,simdars,yimingliumarx"
75,11325516,Binary Masters,18/12/2023 0:40,5.3313,66,"evaweiyidai,journalbing,keanehuang,ryanlei0528"
76,11037782,Shuai@ETH,20/12/2023 15:48,5.3313,216,shuaieth
77,11276877,BounceMeBounceMe,20/12/2023 22:37,5.3314,55,"ericyichen,hayleytan96"
78,11020969,您说的都队,20/12/2023 11:56,5.3314,99,"jiahaodong,zytzwt"
79,10945759,Clash Royale,20/12/2023 5:24,5.3315,230,"cody11null,madarshbb,mcpenguin,ravi20076,yeoyunsianggeremie"
80,11318320,NewYear,20/12/2023 13:51,5.3315,62,"amakiyune,emiria,teta2009"
81,10964941,SangSong,20/12/2023 0:49,5.3315,238,yamahr
82,11042043,XueWang,20/12/2023 22:23,5.3316,56,wxie91
83,10965651,giampaolo1980,20/12/2023 12:43,5.3316,158,giampaolo1980
84,11309427,holyground,20/12/2023 6:42,5.3317,95,"alexxxh,jaysonx,rongbozhu,zhamihong"
85,11270515,Quantitive Capybara,18/12/2023 5:14,5.3317,54,"calvinshi,leixu813,qicongrhea,wenjingjanice"
86,11151248,HappyGoLucky,20/12/2023 5:00,5.3317,63,"ericayingyy,oswald007,ryan37,tonyl666"
87,11049493,YiTou Nian,18/12/2023 4:48,5.3318,139,yitounian
88,11246703,AUTO,19/12/2023 17:16,5.3319,89,"chensijun,huangdi7,liangayla,moyeelin,zhanglongchen"
89,11360211,CodeConquerors,16/12/2023 16:53,5.3319,88,"brynnzhang,domoniquemo,jingyile,ziqianpeterzeng,zongzhechen"
90,10968874,KPG,17/12/2023 16:41,5.3319,68,"chaosongzhang,linjuan,pubingsheng,rongxu1998"
91,11282458,Trader King,16/12/2023 23:03,5.3319,83,"dianshuozhang,jarviisxie,jqfan4,pinochen,ryuutaylor492"
92,10951452,Homer Trading,18/12/2023 9:47,5.332,63,"aubreechiu,billtao19,rogerproself,yingdingdoris"
93,10953378,BeijingQuants,18/12/2023 10:20,5.332,250,"liuyuchenpku,shimingyuan"
94,11302130,Shitian Lin,19/12/2023 16:40,5.3321,47,"itzelzhu,shitianlin,waynewang8624"
